combo,s1,s2,s3,geometry_rank_centered,gradient_rank_C,success_count,cycle_count,status,cvt_ep_mean,cvt_ep_median,cvt_eR_mean,cvt_eR_median,cci_ep_mean,cci_ep_median,cci_eR_mean,cci_eR_median,delta_cci_minus_cvt_ep_mean,delta_cci_minus_cvt_eR_mean,cci_better_ep_count,cci_better_eR_count
3-7-8,3,7,8,2,5,10,10,ok,0.047208460329075996,0.046566886196046764,0.4904292699717982,0.52703770561743535,0.050840872381312338,0.049186622597958474,0.45326971244988234,0.47724568005016038,0.0036324120522363418,-0.037159557521915854,1,8
3-7-9,3,7,9,2,5,10,10,ok,0.027232288972703307,0.027413191238974129,0.40702918736451127,0.42614553178832454,0.028230884401919214,0.031096767339410539,0.32917887998577039,0.37419186757720335,0.0009985954292159073,-0.077850307378740879,4,8
3-7-10,3,7,10,2,5,10,10,ok,0.0090854032172480378,0.0084328115806387542,0.33935676672144965,0.33668530429286742,0.010335238681401394,0.0099546740129091323,0.3241320122725117,0.31319497032193255,0.0012498354641533559,-0.015224754448937949,5,5
3-7-11,3,7,11,2,5,10,10,ok,0.010180601279839913,0.010096669365400244,0.3269004630588534,0.3248870320639759,0.011767947637795418,0.011911003871395882,0.27322450624094269,0.27914870621915616,0.0015873463579555054,-0.053675956817910708,2,10
3-7-12,3,7,12,2,5,10,10,ok,0.017247277006401669,0.018887632591251077,0.35658947488172588,0.34879395904323784,0.016909703620096736,0.016783072996009615,0.26795902151814033,0.25981547992788706,-0.00033757338630493322,-0.088630453363585548,6,10
3-8-9,3,8,9,2,5,10,10,ok,0.025144905739074679,0.027231680624741995,0.30399293447783293,0.32020967120188926,0.036371597417119463,0.027244462688405344,0.32551944226458002,0.31888117269388383,0.011226691678044784,0.021526507786747084,3,7
3-8-10,3,8,10,2,5,10,10,ok,0.012904312928872032,0.013906896747622438,0.33146129899083576,0.30807042468010482,0.019483254722496325,0.019662918910392603,0.40357571998266073,0.39480330531354202,0.0065789417936242926,0.072114420991824968,1,0
3-8-11,3,8,11,2,5,10,10,ok,0.013423171229974514,0.011596297964934988,0.37945163287854056,0.35684038505612553,0.019097200002560509,0.017568610062904569,0.39072424805348327,0.39732289278925415,0.0056740287725859945,0.011272615174942713,0,3
3-8-12,3,8,12,2,5,10,10,ok,0.019896854585131338,0.018382904529251475,0.41690770095371521,0.40558982838429614,0.02288640686732387,0.021239768137863962,0.35363995010003452,0.34648989227194243,0.0029895522821925327,-0.063267750853680693,0,10
3-9-10,3,9,10,2,5,10,10,ok,0.019025099973811528,0.017463357060669198,0.23374828965408811,0.21926678633357305,0.01825804489745254,0.015571412037642719,0.23593674738040224,0.20892944099790978,-0.0007670550763589877,0.0021884577263141247,5,5
