combo,cycle,status,cvt_ep,cvt_eR,cci_ep,cci_eR
1-4-11,cycle_0008.json,ok,0.0069511692452454117,0.44451102210824306,0.0080962057144403077,0.36035906577107596
1-4-11,cycle_0009.json,ok,0.013283517144479819,0.43090532322110259,0.015026527979533555,0.34419632206465556
1-4-12,cycle_0000.json,ok,0.019697453761935615,0.48168659195340002,0.016325957023218145,0.4363531602741042
1-4-12,cycle_0001.json,ok,0.021031680201347561,0.51147333096265457,0.016757258750226815,0.47888088788404448
1-4-12,cycle_0002.json,ok,0.033517730599779534,0.40048207092305782,0.031816033650409747,0.32595146328832342
1-4-12,cycle_0003.json,ok,0.015074331675523016,0.31308814116740125,0.015576760893601493,0.30561471532692064
1-4-12,cycle_0004.json,ok,0.01361381372453245,0.54250139246187445,0.015571188596528925,0.52596912539118823
1-4-12,cycle_0005.json,ok,0.0073756814446140611,0.48373686082903877,0.0072853154092445511,0.47686899984771242
1-4-12,cycle_0006.json,ok,0.010809077169639953,0.56936595344448271,0.01274053956042148,0.52715800524496581
1-4-12,cycle_0007.json,ok,0.010482666798847599,0.50461262444238064,0.0086720307963464253,0.46081886793276661
1-4-12,cycle_0008.json,ok,0.011608676012727394,0.48365031588702573,0.0076956425936561493,0.44947131308511939
1-4-12,cycle_0009.json,ok,0.018085771786142953,0.47163122386779782,0.013433337527876047,0.44178019057868451
1-5-6,cycle_0000.json,ok,0.028804542920920124,0.36420087559391612,0.030501959054702609,0.34975710620242234
1-5-6,cycle_0001.json,ok,0.041520863902092274,0.30382582186487278,0.04062199198575616,0.36302433089805491
1-5-6,cycle_0002.json,ok,0.041827876868125335,0.34880754782341367,0.040836372400810332,0.30397696748561837
1-5-6,cycle_0003.json,ok,0.01608156639268539,0.26375157197736632,0.013672519913480478,0.25640974788985599
1-5-6,cycle_0004.json,ok,0.033719324188826366,0.17307532174604121,0.029191438641603333,0.17404892680352191
1-5-6,cycle_0005.json,ok,0.029254557920440016,0.24325998633991142,0.024655280280865138,0.25559274115367275
1-5-6,cycle_0006.json,ok,0.029870213385637109,0.2260582800079782,0.025624933884362506,0.21913695678719244
1-5-6,cycle_0007.json,ok,0.038510801824253829,0.23757193479740021,0.030850236181224604,0.26783406056040893
1-5-6,cycle_0008.json,ok,0.015110827758546807,0.40043193470527938,0.016158079810150282,0.35551385804059166
1-5-6,cycle_0009.json,ok,0.026772307176773848,0.42512125731754885,0.023794884050256572,0.35817171294806854
1-5-7,cycle_0000.json,ok,0.0092943155175671012,0.44028080955586152,0.012162800991141216,0.43281130693805803
1-5-7,cycle_0001.json,ok,0.01362435066352718,0.57469838323493805,0.010491727311032654,0.40882132895026141
1-5-7,cycle_0002.json,ok,0.01367183114820862,0.55774410869274837,0.017516430742090753,0.45462690657407695
1-5-7,cycle_0003.json,ok,0.023591247777961871,0.5807926134244219,0.026209682830786975,0.59776030095427668
1-5-7,cycle_0004.json,ok,0.020998591065915152,0.53455389322417002,0.024717790580865675,0.55942493526028958
1-5-7,cycle_0005.json,ok,0.017454211282061208,0.49843032945717247,0.022909004593623696,0.55266554670040857
1-5-7,cycle_0006.json,ok,0.024648572155224775,0.51927557412102709,0.032186591210494449,0.5663684151991023
1-5-7,cycle_0007.json,ok,0.015950997401281423,0.53835245596214687,0.020496581086940389,0.53942699031170016
1-5-7,cycle_0008.json,ok,0.018612903278675721,0.5531877771954764,0.025573975676127077,0.56679033586318983
1-5-7,cycle_0009.json,ok,0.012719491815985792,0.52000724809373278,0.01926127232445668,0.49168364685958066
1-5-8,cycle_0000.json,ok,0.008926929918743021,0.42540102849007944,0.007264470252577932,0.45937118555623729
1-5-8,cycle_0001.json,ok,0.002829201501605717,0.49959311773597331,0.0096689233079720986,0.49009741787851646
1-5-8,cycle_0002.json,ok,0.0058704099704882428,0.55300008075760365,0.015249430448419702,0.49083466913836798
1-5-8,cycle_0003.json,ok,0.020231505968770987,0.57365484534528466,0.022468542456732216,0.58962158319276425
1-5-8,cycle_0004.json,ok,0.016013220541137591,0.50175999752366884,0.019432603381001102,0.53021531949130873
1-5-8,cycle_0005.json,ok,0.012846286408933873,0.49882447808981478,0.01762988231034315,0.52904372455015669
1-5-8,cycle_0006.json,ok,0.023063606262617515,0.5707729374374374,0.0298506528563071,0.59349006289624107
